before_umap_x,before_umap_y,true_label,decision_value
10.227119,5.772166,0,-0.9998484109688811
-3.6590028,6.046703,1,1.0105877588667842
-1.7209917,3.9436774,0,-1.5445305542592935
2.8470352,6.6562953,0,-1.0002503178340598
5.4000354,3.627362,0,-1.0001671103030636
6.995801,2.9408228,0,-1.0002589725145303
-0.41165367,5.442523,1,0.9999790396796295
3.0827658,4.14414,0,-1.0003767918464972
8.971111,9.790215,0,-0.0143535024026658
1.2811068,7.4240556,1,0.9999316824081406
0.6074592,6.451967,0,-1.2402579281644739
4.589723,7.3564634,0,-0.4556522035188386
11.690499,4.0107102,0,-0.9998370379248721
-3.737429,5.79697,0,-1.0001686077526624
5.052773,6.203511,0,-1.0001606392694429
-3.5604973,5.9181495,0,0.048891622466088566
-2.6427624,5.8327613,1,0.6795277617100411
-0.18315426,4.1517963,0,-1.8093755700086795
4.3048615,8.740057,1,-0.4938830591675704
1.784887,4.8900757,0,-0.9998806611660951
3.587747,9.273517,1,1.6875441094745616
-1.1885662,5.2678556,0,-1.0003175828583957
5.723309,6.2930245,0,-1.0001208851900822
1.4632969,4.762728,0,-1.0002477470596378
11.600795,6.198029,0,-1.0570920427349633
7.688483,5.995953,0,-0.9999599475502676
4.5735373,3.6120768,0,-0.9999742200121213
-0.59042376,5.0278435,0,-1.0002658004761673
-1.5628959,5.3310857,0,-0.889917074634418
-3.7154233,5.8779407,0,-1.000172279731433
-2.8898544,4.20305,1,1.0000884804142591
3.342523,4.227864,0,-0.9999196748464364
1.8418634,5.500763,0,-1.0916506051717345
-2.5255516,4.895864,0,-1.1470678401394676
8.605282,10.588224,0,-1.0003809128310164
6.8661766,5.5136313,1,0.9996064964532565
12.06806,9.634615,1,1.0001266614446263
5.9759407,3.6728148,0,-0.9999489131690338
11.539528,4.39665,0,-1.000033339778846
13.182626,9.879473,1,1.0285992567629296
8.452573,7.2206955,0,-0.9997129157003872
2.0690327,4.345323,1,0.9997341380908904
-0.8870446,4.0532894,1,1.0003141434613305
-0.319335,4.1278663,0,-1.0235245555700019
3.781283,7.103114,0,-1.3324128946694864
12.472716,3.220464,1,1.000083669441995
5.5137625,6.0034823,0,-1.0000481436799835
-0.30331975,5.9048367,1,0.9996584059269473
4.9206533,6.2367425,1,0.9998133442902999
1.3699551,5.473645,0,-0.9997524471465572
5.240343,6.321431,0,-0.49962775514714436
10.060016,10.115601,0,0.7431540119064314
5.613536,9.287287,1,1.000334150009372
6.909493,5.934743,0,-1.0002973433672835
12.100381,9.975344,1,0.9995789420300407
5.0324616,6.1627145,0,-1.420647122968516
-1.8662838,3.646175,1,0.9996227005719631
-0.15718941,7.053628,0,-1.0042588561867283
0.60644436,4.322606,0,-1.0000298441972506
11.878375,8.851918,0,-1.0001702272124262
-3.4155262,5.9489822,0,-0.9998685594178456
10.96771,4.149001,1,0.9996895168350397
2.4824529,5.189716,0,-1.0931111685060633
0.07787515,6.262044,0,-0.29793265523609186
5.19171,9.054536,1,1.0000101859557646
-2.6921043,5.274911,0,-1.000154013207409
13.733802,9.204957,1,1.0001008923064152
2.6398993,7.2451644,0,-0.7707894469065049
12.7747555,9.626279,1,1.2418518669017087
6.3078213,9.79962,0,-0.04987619147433523
-3.0178976,11.885038,1,0.9999251892387004
2.8837852,6.3247046,0,-0.9998098503143438
1.5453663,4.487659,1,0.9998879460173535
9.862317,6.3797817,0,-1.0000591964505183
0.7103754,5.1904206,0,-0.999789236934318
4.4960527,7.52037,1,0.9505269818837714
0.5668298,6.3176775,1,1.2830115124706345
13.921121,9.253343,1,1.0000824371705521
10.130033,7.0392113,1,-0.31490214851628345
4.2665744,8.769049,0,-0.4606076766642541
12.946492,9.531513,1,1.5322973490472325
8.724889,9.423621,1,1.7192170932273294
-3.762743,5.9026365,1,0.9999202288376825
6.619214,5.5614123,0,-0.9997424282516495
-2.1958628,4.245888,0,-1.0001439675199675
-3.4313724,4.69317,0,-1.1798736143694346
2.3174927,8.564611,1,0.9349840960642957
-3.1012318,11.992858,1,1.0180268291638954
1.4544258,7.4009256,0,-0.9998487512932847
1.493276,7.4725766,0,0.4783596570631961
5.735241,9.837747,1,2.7860072046383713
9.138813,9.825316,1,1.023555969361633
7.281649,7.5922947,0,-1.4967024805631755
1.3397647,6.474318,1,0.8537784604650247
-3.7489657,5.6404476,0,-0.9997385352179975
6.2143083,6.1892567,0,-1.4252889666955355
11.477218,4.02321,1,1.0087036658033166
6.325197,5.749786,1,0.9995449301471346
8.296997,7.383256,0,-0.9998027116264515
-1.284519,6.397676,0,-1.000203824161228
11.793961,4.4663653,0,-0.9999671475313654
3.899568,7.394678,0,-0.9998906705601017
5.261252,3.6208243,1,1.000039050485226
1.3937752,7.1958466,1,0.9996791277152388
5.682387,6.5969725,0,-1.0001765038381123
12.532518,4.6646943,0,-1.0949641338489564
5.1697035,9.531527,1,-0.6731933191815511
5.235739,9.670993,0,-0.999992829881765
11.375993,5.4055557,0,-0.9999177099060823
-2.8969555,4.024938,1,0.999757541631344
5.036663,9.1544485,1,0.9272888537894897
2.7937326,8.125965,0,-1.0002439369869607
-1.4245535,6.788008,1,1.0655604516384172
-0.3726873,6.9811,0,-0.9999267436934348
5.634763,3.901356,0,-1.135888192948539
2.0278926,8.813491,1,1.8738508342142564
6.2159166,9.74386,1,0.9997938670853068
-3.5317864,5.56529,0,-1.000354301315765
13.3130865,9.459784,1,1.3397278225290263
4.717877,6.1466074,0,-1.6294229496427315
0.5200045,5.9910374,0,-1.3846022538371383
-0.6540441,7.6753097,1,1.0176820146840346
-2.734284,4.8584433,1,0.9997227549703114
6.8648825,2.9043956,0,-0.9998484043576549
-3.493047,5.648501,1,1.0000262219281164
12.6449375,2.6227312,1,1.0142117826337442
5.534675,9.084388,1,1.4764974777410687
3.69471,8.455253,1,1.0001534177312745
8.198878,8.9597435,1,1.6861879851748476
8.191168,10.350409,1,1.000187368261102
6.188297,6.083654,0,-0.9997542956481077
