before_umap_x,before_umap_y,after_umap_x,after_umap_y,true_label
9.851978,6.096146,-4.4304466,13.292679,0
8.514013,7.111443,-5.1337657,12.154389,0
12.963794,9.233014,5.5220194,7.3557677,1
8.829344,8.523482,1.0248524,11.972225,0
6.804121,9.902912,2.4235783,5.9904947,0
12.4238405,3.6264296,6.182211,9.768489,1
0.8099774,7.0237784,2.1575572,10.564827,1
4.761787,6.267905,7.3530865,20.175741,1
1.635147,6.5618787,0.4682869,9.086609,0
1.747029,5.289366,0.39408204,14.229989,1
0.9650207,7.323031,0.13091375,9.175039,1
8.243422,6.017152,0.8632181,11.646889,0
-3.3838134,4.6809096,-1.4596947,9.983824,0
10.137376,6.220161,-3.5361862,12.83377,0
-0.8984176,7.279377,-1.0945834,7.995674,1
9.939886,6.200246,-3.5112734,12.786707,0
-3.6953828,5.9286475,3.3890836,4.2313514,1
-3.380196,5.958143,0.50817287,8.174385,0
10.894915,6.773964,-5.393212,11.713559,1
-2.7217507,5.8605466,2.0805683,7.7099843,0
10.913038,10.325586,5.468616,3.677624,0
6.080844,6.159324,-4.4565825,13.278143,0
4.478438,6.41379,-0.8886179,9.283156,1
1.1447785,5.1592727,-0.32389,11.872185,0
8.276146,10.349477,3.52845,3.8347423,1
3.8346417,9.199783,4.2062764,3.65145,1
8.33628,7.3424025,-4.9037166,10.471515,0
0.5115757,5.774131,-1.9452306,12.530657,1
6.5810876,9.380111,4.0247293,6.535839,1
12.701699,4.42692,-5.5099277,12.30485,0
-1.5987388,6.6974115,1.1959807,6.689073,0
10.382859,5.408751,-2.365683,12.112816,1
3.101082,5.4955273,2.794825,10.571615,1
12.8028,3.985025,-4.8527346,12.98191,0
1.5971768,7.2904253,1.778826,9.808829,1
0.6518466,7.084396,2.0834017,10.146416,1
2.1675937,4.325413,-0.35870975,14.319473,0
11.538858,9.741424,5.190701,4.148208,0
0.99011797,7.0963945,3.6803179,8.094754,1
4.295618,3.8665407,-0.62734,16.139442,0
8.998656,9.835597,4.4747767,8.227275,0
6.341452,5.940934,0.6676446,10.769898,1
12.672523,3.7698107,3.4149492,11.585516,1
6.394662,5.6747055,4.5131545,13.192222,1
1.9692826,6.4922705,-3.9254825,11.450542,0
-2.0535266,3.799212,-0.3677591,14.308193,0
6.526122,9.079995,3.995517,7.228182,1
7.0047326,9.513249,5.4397283,3.7897613,1
-2.7724662,5.9154077,-3.2107208,9.223224,0
1.5296292,7.292511,1.7551708,9.769129,1
-0.9921858,5.4105086,2.3780508,11.427109,0
-3.2881541,4.8554077,1.4859886,8.965401,0
1.1514425,4.335463,-0.6327474,15.554864,1
12.271457,3.7329087,6.1667233,9.750368,1
-3.6464496,6.107295,1.1883764,6.2298265,1
7.645682,5.525383,3.1046116,11.699712,1
11.426542,9.561037,4.6536493,6.22164,1
3.851526,9.1552925,1.9808675,6.559381,0
